,name,model,psnr,ssim,lpips
0,00020.png,HAT,23.5752211492785,0.79021454,0.19382351636886597
1,00023.png,HAT,23.604025883447783,0.60835975,0.5106956362724304
2,00029.png,HAT,25.011164732102852,0.8358496,0.18502360582351685
3,00044.png,HAT,21.146528537919185,0.6809862,0.3336702883243561
4,00062.png,HAT,28.5865864370231,0.8869955,0.15766744315624237
5,00067.png,HAT,17.59688430857973,0.7342333,0.2573111951351166
6,00076.png,HAT,23.33787289526316,0.81806785,0.3065093457698822
7,00077.png,HAT,39.58345533060255,0.98402137,0.02872699499130249
8,00120.png,HAT,39.05593177415127,0.9790471,0.04321606457233429
9,00130.png,HAT,24.109393645799155,0.733198,0.2596363425254822
10,00145.png,HAT,23.671051716549098,0.7603268,0.25834372639656067
11,00185.png,HAT,22.989504940804302,0.8184998,0.3189672529697418
12,00186.png,HAT,38.52468491681678,0.9700303,0.07470932602882385
13,00190.png,HAT,23.440277729652045,0.7167012,0.26221928000450134
14,00195.png,HAT,23.837586251952352,0.77265126,0.24976846575737
15,00201.png,HAT,23.254475462588648,0.72617215,0.22209292650222778
16,00208.png,HAT,24.054530105002133,0.52742076,0.4255138039588928
17,00293.png,HAT,22.37930642792067,0.6788427,0.3070696294307709
18,00313.png,HAT,23.180528539685987,0.69981736,0.27265864610671997
19,00323.png,HAT,20.269837385734213,0.58076525,0.4013429284095764
20,00326.png,HAT,30.143804524066823,0.8839219,0.1167677715420723
21,00328.png,HAT,27.795334111434038,0.7772174,0.26795652508735657
22,00331.png,HAT,30.909450951029747,0.8520934,0.20527498424053192
23,00357.png,HAT,35.80950620341318,0.9736423,0.048242904245853424
24,00391.png,HAT,18.132693095646847,0.5975237,0.5683716535568237
25,00417.png,HAT,29.989872601101993,0.90689987,0.12136311084032059
26,00421.png,HAT,20.60972885780685,0.52783716,0.4385082423686981
27,00427.png,HAT,26.466774353966585,0.8566225,0.17102070152759552
28,00449.png,HAT,22.95607109730753,0.73726344,0.26122844219207764
29,00462.png,HAT,24.168239247960827,0.75223845,0.25979867577552795
30,00480.png,HAT,20.900683721923517,0.65164065,0.30338671803474426
31,00483.png,HAT,25.64734676337722,0.7700069,0.24790145456790924
32,00500.png,HAT,25.761326004978304,0.82288694,0.35373595356941223
33,00507.png,HAT,23.6740096183623,0.7951769,0.19247537851333618
34,00509.png,HAT,24.031907000702695,0.759181,0.26664283871650696
35,00541.png,HAT,24.789467319611347,0.76955765,0.3927091360092163
36,00547.png,HAT,16.502241457961013,0.78465,0.20714107155799866
37,00567.png,HAT,22.380296738018576,0.58535105,0.39910078048706055
38,00568.png,HAT,28.24313255631896,0.9246812,0.06853767484426498
39,00578.png,HAT,23.82753310006885,0.7005308,0.3355647921562195
40,00579.png,HAT,40.249119932980605,0.9844079,0.028043821454048157
41,00612.png,HAT,20.964815009278148,0.5447805,0.4209163784980774
42,00621.png,HAT,20.716373729478867,0.78740984,0.22530734539031982
43,00635.png,HAT,29.99276611838159,0.7779158,0.19992545247077942
44,00646.png,HAT,29.20678667685186,0.85626936,0.19754628837108612
45,00660.png,HAT,26.265076141583968,0.84638304,0.17731282114982605
46,00699.png,HAT,24.11494906820497,0.7546918,0.26444053649902344
47,00719.png,HAT,20.9207790106756,0.80958205,0.21361790597438812
48,00721.png,HAT,23.75886551565875,0.80054873,0.18779829144477844
49,00731.png,HAT,23.06827928284833,0.7294402,0.26344287395477295
50,00751.png,HAT,26.70627930993552,0.7819511,0.2454553097486496
